,cpu,cpu_point
443,Intel Core i7-10810U @ 1.10GHz,7998
444,CentaurHauls @2500MHz,7969
445,AMD Ryzen 5 3550H,7963
446,Intel Core i7-8705G @ 3.10GHz,7932
447,Intel Core i7-8709G @ 3.10GHz,7921
448,Intel Core i5-8260U @ 1.60GHz,7897
449,AMD Ryzen 5 2600H,7876
450,Intel Core i3-10105T @ 3.00GHz,7850
451,Intel Core i5-9400T @ 1.80GHz,7815
452,Intel Core i7-5775C @ 3.30GHz,7803
453,AMD Ryzen 5 1400,7787
454,Intel Core i7-5775R @ 3.30GHz,7777
455,Intel Core i5-9300H @ 2.40GHz,7756
456,Intel Core i5-8279U @ 2.40GHz,7732
457,AMD Athlon Gold PRO 3150G,7702
458,Intel Core i7-5950HQ @ 2.90GHz,7696
459,Intel Core i3-9350K @ 4.00GHz,7694
460,Intel Core i5-8500T @ 2.10GHz,7692
461,AMD Ryzen 5 3550U,7681
462,Intel Core i5-8257U @ 1.40GHz,7666
463,AMD Ryzen 5 2400GE,7661
464,AMD Ryzen 7 2800H,7656
465,AMD Ryzen 7 3780U,7651
466,Intel Core i7-7700T @ 2.90GHz,7608
467,Intel Core i5-1035G1 @ 1.00GHz,7594
468,"Qualcomm Technologies, Inc KONA-IOT",7592
469,Intel Core i5-9300HF @ 2.40GHz,7590
470,AMD Ryzen 3 2300X,7585
471,MediaTek MT6895,7572
472,AMD Ryzen 5 PRO 2400GE,7564
473,AMD Ryzen 3 4300U,7557
474,Intel Core i7-7820HK @ 2.90GHz,7551
475,Intel Core i5-8300H @ 2.30GHz,7535
476,Intel Core i7-7920HQ @ 3.10GHz,7512
477,AMD Ryzen 3 PRO 1300,7498
478,Intel Core i5-8400T @ 1.70GHz,7466
479,Intel Core i7-7820EQ @ 3.00GHz,7453
480,Intel Core i7-6920HQ @ 2.90GHz,7395
481,AMD Ryzen 5 3580U,7383
482,Intel Core i3-10100T @ 3.00GHz,7363
483,Intel Core i3-9320 @ 3.70GHz,7358
484,AMD Ryzen 7 PRO 3700U,7324
485,AMD Ryzen 7 PRO 2700U,7321
486,Intel Core i3-9350KF @ 4.00GHz,7318
487,AMD Ryzen 3 3200GE,7317
488,Intel Core i7-995X @ 3.60GHz,7297
489,AMD Opteron 6281,7279
490,Intel Core i3-9300 @ 3.70GHz,7279
491,AMD Ryzen 7 3700U,7250
492,Intel Core i7-6700T @ 2.80GHz,7246
493,Intel Core i7-4790 @ 3.60GHz,7235
494,AMD Ryzen 3 3200G,7188
495,Intel Core i7-7820HQ @ 2.90GHz,7153
496,AMD Ryzen 7 3700C,7145
497,Intel Core i7-4940MX @ 3.10GHz,7137
498,Intel Core i7-4770K @ 3.50GHz,7135
499,Intel Core i7-990X @ 3.47GHz,7123
500,AMD Athlon Gold 3150G,7093
501,Intel Core i7-6770HQ @ 2.60GHz,7088
502,MT6893Z_B/CZA,7081
503,AMD Ryzen 3 PRO 3200GE,7071
504,AMD Athlon Gold PRO 3150GE,7068
505,AMD Ryzen 5 3500U,7066
506,Intel Core i7-5850EQ @ 2.70GHz,7036
507,Intel Core i7-10610U @ 1.80GHz,7036
508,Intel Core i7-4771 @ 3.50GHz,7031
509,Intel Core i7-4770 @ 3.40GHz,7031
